CATEGORY,DATE,UNITS_SOLD
CATEG-1,2020-06-17,69
CATEG-2,2021-01-16,17
CATEG-3,2020-05-06,1860
CATEG-1,2019-10-06,11
CATEG-1,2019-09-13,18
CATEG-1,2021-05-12,33
CATEG-2,2019-11-22,4
CATEG-2,2021-01-28,19
CATEG-3,2019-08-05,690
CATEG-2,2021-05-01,65
CATEG-3,2020-09-22,1394
CATEG-2,2020-03-23,74
CATEG-3,2021-04-03,1592
CATEG-3,2020-05-11,1638
CATEG-2,2020-02-21,2
CATEG-1,2020-01-16,43
CATEG-1,2021-11-06,54
CATEG-2,2019-09-17,5
CATEG-1,2019-08-02,18
CATEG-1,2020-09-29,49
CATEG-3,2020-12-28,3129
CATEG-3,2019-10-09,554
CATEG-1,2021-11-10,189
CATEG-3,2021-06-29,1938
CATEG-1,2020-07-13,91
CATEG-3,2020-10-22,1955
CATEG-3,2021-06-04,1745
CATEG-1,2021-08-07,43
CATEG-2,2021-10-12,18
CATEG-3,2021-05-11,2011
CATEG-3,2019-07-22,664
CATEG-3,2020-04-03,601
CATEG-1,2020-12-18,130
CATEG-1,2019-12-24,65
CATEG-3,2018-09-29,1
CATEG-1,2020-01-29,26
CATEG-2,2020-08-27,16
CATEG-3,2020-05-04,1822
CATEG-2,2020-04-05,174
CATEG-3,2020-05-13,1624
CATEG-1,2019-12-05,64
CATEG-1,2021-08-31,47
CATEG-2,2019-06-23,13
CATEG-3,2019-07-09,682
CATEG-2,2020-09-11,10
CATEG-3,2019-06-20,511
CATEG-3,2021-08-11,2097
CATEG-3,2021-04-22,1939
CATEG-1,2020-01-25,25
CATEG-1,2021-09-29,42
CATEG-2,2019-08-07,14
CATEG-2,2021-01-20,12
CATEG-2,2021-02-14,16
CATEG-2,2021-07-11,39
CATEG-1,2021-01-14,50
CATEG-2,2020-03-10,15
CATEG-3,2020-06-13,1516
CATEG-3,2021-04-20,1948
CATEG-1,2021-02-02,105
CATEG-1,2021-01-01,50
CATEG-1,2019-08-04,13
CATEG-3,2021-08-31,2043
CATEG-2,2021-03-04,85
CATEG-2,2020-07-11,89
CATEG-3,2019-08-29,618
CATEG-3,2021-03-17,1929
CATEG-3,2021-02-04,2025
CATEG-3,2019-12-21,848
CATEG-3,2021-07-19,2310
CATEG-1,2020-09-02,58
CATEG-2,2020-06-29,74
CATEG-1,2021-08-25,49
CATEG-3,2019-10-18,468
CATEG-3,2021-07-07,2232
CATEG-1,2021-03-12,65
CATEG-1,2021-05-03,51
CATEG-2,2021-01-23,15
CATEG-3,2020-01-21,821
CATEG-2,2021-09-29,19
CATEG-2,2021-06-11,51
CATEG-2,2019-11-14,3
CATEG-1,2020-01-15,43
CATEG-3,2021-04-26,2000
CATEG-3,2019-12-18,1383
CATEG-3,2020-03-03,832
CATEG-1,2021-03-29,64
CATEG-1,2021-05-01,50
CATEG-1,2020-01-02,57
CATEG-2,2020-08-09,33
CATEG-1,2020-09-16,50
CATEG-3,2019-08-28,600
CATEG-3,2020-06-12,1534
CATEG-1,2019-11-01,18
CATEG-3,2019-07-16,984
CATEG-1,2020-03-06,23
CATEG-3,2021-01-21,2251
CATEG-3,2020-08-30,1372
CATEG-1,2020-11-28,96
CATEG-1,2021-02-18,78
CATEG-2,2020-12-05,8
CATEG-2,2020-02-05,3
CATEG-2,2020-06-05,106
CATEG-1,2021-09-03,38
